Student_ID,Subject,Due_Date,Status,Grade_Feedback,Guardian_Signature
S05103,Geography,2024-09-12,Done,D,False
S07306,Geography,2024-10-23,Not Done,A,False
S00828,Science,2024-10-02,Done,F,False
S02329,Science,2024-09-13,Done,A+,False
S04045,Science,2024-11-02,Done,B-,False
S08571,English,2024-12-14,Not Done,A,False
S03713,History,2024-10-08,Done,A,False
S04784,Math,2024-11-21,Done,B,False
S04006,Arabic,2025-02-16,Done,D,True
S11171,Arabic,2025-02-11,Done,D,True
S08040,Math,2025-02-27,Done,D,True
S01574,Science,2024-10-15,Done,A+,True
S07756,Math,2024-09-13,Done,D,False
S01777,Math,2024-10-27,Done,C,False
S06533,English,2025-01-12,Pending,A,True
S10168,Arabic,2024-09-27,Done,B,True
S06215,Arabic,2025-01-25,Not Done,C,False
S06511,Geography,2025-01-24,Not Done,B-,False
S06224,History,2024-10-03,Not Done,B-,True
S02532,Science,2025-01-31,Done,D,False
S04520,Science,2024-10-15,Not Done,C-,False
S00087,Geography,2025-01-28,Pending,C,False
S05770,Science,2025-02-21,Pending,D,False
S09016,Arabic,2024-11-26,Done,B-,False
S12111,Arabic,2025-01-23,Not Done,C-,False
S11555,Math,2024-09-20,Done,B,False
S02282,Geography,2024-11-18,Done,D,False
S01153,History,2024-09-29,Done,B,True
S01856,Arabic,2024-09-13,Done,C,False
S06708,Science,2025-03-03,Done,C-,False
S01043,Arabic,2025-01-23,Not Done,A,True
S09501,History,2024-12-25,Not Done,A,True
S09150,Math,2024-10-19,Done,A+,False
S00985,English,2024-12-02,Done,C-,True
S04485,Geography,2025-02-26,Pending,C-,True
S05960,Science,2024-11-23,Not Done,C-,False
S00219,History,2024-10-27,Not Done,A+,False
S10285,Science,2024-11-27,Not Done,D,False
S07872,English,2024-12-25,Done,C-,False
S03670,Math,2024-10-24,Done,C-,False
S02486,Math,2025-02-18,Not Done,A+,False
S06554,English,2024-09-28,Done,B-,False
S01349,Arabic,2025-01-20,Not Done,F,False
S06486,Science,2024-12-12,Pending,D,False
S00601,Geography,2024-12-23,Not Done,B,True
S00330,English,2024-10-23,Done,C,False
S03120,Math,2025-02-01,Pending,C-,False
S10266,Science,2025-01-31,Done,C,False
S10471,Science,2024-09-23,Not Done,F,False
S08021,Math,2024-12-09,Done,D,False
S07736,English,2024-09-22,Done,B,False
S07659,Science,2025-01-19,Done,A+,True
S09863,History,2024-09-17,Done,A+,False
S07273,English,2025-02-06,Done,A+,False
S10920,Science,2024-09-15,Not Done,C,False
S05796,English,2024-11-23,Not Done,B-,True
S06259,English,2024-09-22,Done,D,False
S05122,Geography,2025-01-04,Not Done,A,False
S10172,Arabic,2025-01-25,Done,A,True
S03138,History,2024-12-25,Pending,D,True
S07726,Math,2024-11-23,Done,C-,True
S06642,Math,2024-10-16,Pending,A,True
S05811,Geography,2024-11-29,Done,B,False
S06638,Arabic,2025-02-09,Not Done,C-,False
S06909,Math,2024-12-31,Not Done,B-,True
S10341,English,2025-01-13,Done,A+,False
S09572,History,2025-03-01,Done,B,True
S05178,History,2024-09-20,Done,A+,False
S09258,Geography,2025-02-06,Done,D,False
S09268,Math,2024-09-29,Done,C,False
S03447,Science,2024-10-25,Pending,A,False
S01530,Math,2024-11-19,Done,A+,True
S07544,Math,2024-09-11,Not Done,C,False
S06996,Math,2024-11-09,Pending,A+,True
S06032,Arabic,2024-12-15,Done,A+,False
S03303,English,2025-02-22,Pending,A,False
S03099,Science,2024-12-05,Pending,D,False
S07216,Math,2024-12-18,Pending,A+,False
S04062,Math,2025-03-03,Done,D,False
S07816,Science,2024-10-22,Not Done,A,True
S09683,Arabic,2025-02-06,Done,B,False
S04470,English,2024-12-05,Not Done,D,False
S02370,Math,2025-02-24,Done,A,False
S08804,Geography,2025-02-07,Pending,D,True
S02581,History,2024-12-25,Pending,C-,True
S06156,Geography,2025-02-06,Done,B-,True
S06549,Science,2024-10-31,Not Done,B,False
S09864,Arabic,2024-11-29,Not Done,D,False
S09007,Geography,2024-09-14,Pending,C-,False
S08276,Geography,2024-12-31,Not Done,B-,False
S07650,English,2024-12-01,Pending,C,False
S08249,Geography,2025-02-05,Not Done,B-,False
S06365,Geography,2025-02-14,Pending,F,False
S09777,Math,2024-12-20,Not Done,C-,True
S03956,Science,2024-10-02,Not Done,F,False
S01771,History,2024-11-29,Pending,C,True
S06247,Science,2024-12-21,Done,F,False
S10620,History,2025-01-14,Done,D,True
S05935,Geography,2025-01-18,Done,A,True
S06837,Science,2024-11-25,Done,A,False
S09908,History,2024-10-28,Not Done,D,True
S07199,Science,2025-02-23,Not Done,B,False
S07449,Math,2024-11-11,Done,B-,True
S02318,Math,2024-12-08,Not Done,C,True
S04706,Geography,2024-11-14,Pending,F,True
S07726,Arabic,2025-02-01,Done,B,False
S08593,Science,2025-02-24,Done,B,False
S06267,Geography,2024-11-10,Pending,B-,False
S03757,Math,2024-10-08,Not Done,D,False
S03985,English,2025-02-27,Not Done,B-,True
S04322,Arabic,2025-02-16,Pending,B-,True
S01487,Math,2024-10-31,Not Done,A,False
S07854,Geography,2025-01-05,Done,D,False
S06182,Arabic,2025-01-23,Not Done,C,False
S01367,English,2025-02-22,Done,C,False
S01302,English,2024-09-16,Done,A+,True
S07532,History,2024-11-16,Not Done,B,True
S11652,Geography,2025-01-10,Not Done,F,False
S07760,English,2025-01-20,Done,C,False
S07351,Geography,2024-09-23,Not Done,A,False
S04812,English,2025-03-06,Done,A,False
S05768,Geography,2025-02-07,Not Done,B-,False
S08813,Math,2024-09-28,Pending,B,True
S00156,English,2024-11-18,Done,A,False
S11510,Arabic,2024-12-11,Not Done,C,True
S08528,History,2025-03-01,Not Done,B,False
S06671,History,2024-12-16,Done,C-,False
S09013,Arabic,2024-09-20,Pending,C,False
S11993,Math,2024-10-08,Pending,A+,False
S04264,Geography,2024-09-16,Not Done,A,False
S02414,Math,2024-12-30,Pending,B,True
S06115,Science,2024-09-21,Not Done,D,False
S04064,English,2025-03-09,Done,F,False
S00753,History,2025-01-17,Done,A,True
S02102,English,2025-01-17,Not Done,A,False
S08949,Math,2025-01-20,Done,B,False
S00765,Arabic,2024-10-24,Not Done,A+,False
S02434,Science,2024-09-23,Done,C,True
S07862,Math,2025-02-05,Done,B,False
S10130,English,2024-11-21,Pending,D,False
S00888,Science,2024-10-26,Not Done,C,False
S02863,Science,2024-11-08,Done,C,False
S01326,Science,2025-01-14,Done,B-,True
S05779,English,2024-12-04,Done,A,False
S02711,Geography,2024-10-25,Pending,B-,False
S03060,Math,2025-02-28,Done,F,False
S08179,English,2024-12-27,Pending,F,True
S02041,English,2025-01-27,Pending,C-,False
S01984,Science,2024-12-10,Done,F,True
S10239,Arabic,2024-10-25,Done,B-,False
S05405,Arabic,2024-11-02,Done,C-,True
S06014,Math,2024-11-21,Done,C-,True
S03735,Science,2025-01-21,Done,A,False
S10593,English,2025-01-18,Pending,C,False
S07950,Arabic,2024-12-28,Done,A+,True
S11259,Geography,2024-12-10,Done,C,False
S04675,Science,2025-02-01,Not Done,A,False
S03885,English,2024-09-14,Done,A,False
S01911,Math,2025-03-06,Done,A+,False
S07387,English,2025-01-14,Done,C,False
S01460,Math,2024-09-08,Done,C,True
S07904,History,2024-10-17,Done,D,False
S11262,Geography,2025-01-22,Not Done,B,False
S01350,English,2025-03-09,Not Done,B,False
S03489,Arabic,2024-10-23,Not Done,C,True
S00679,Arabic,2024-12-15,Done,A+,True
S05429,Science,2024-09-10,Done,C,False
S04644,History,2024-12-07,Pending,A,False
S02262,History,2024-12-11,Done,B,False
S01037,Science,2024-10-27,Not Done,C,False
S10538,History,2024-11-03,Not Done,C,False
S06412,Geography,2024-12-16,Pending,A,True
S01837,Math,2024-10-05,Pending,B,False
S09870,Arabic,2025-02-06,Not Done,B,False
S03368,English,2024-09-27,Done,D,False
S05853,English,2024-09-26,Done,F,False
S09113,Math,2025-01-28,Done,B-,True
S02874,Geography,2025-02-10,Not Done,D,False
S06709,Science,2025-02-13,Done,B-,False
S07486,Arabic,2025-02-08,Not Done,C,False
S07232,Arabic,2024-10-11,Not Done,B,False
S02407,Geography,2024-10-18,Not Done,F,True
S01186,Geography,2024-11-07,Done,C,True
S11119,History,2024-11-20,Done,A+,False
S05761,Arabic,2024-09-29,Done,B-,False
S11449,Science,2025-01-21,Done,A+,True
S06760,English,2024-12-18,Done,B,True
S01039,Math,2025-02-10,Done,F,False
S02745,Math,2025-01-28,Not Done,B-,False
S04016,Arabic,2024-12-04,Done,D,True
S08929,Science,2025-03-07,Done,C-,False
S01108,Science,2025-01-19,Done,F,False
S00706,Arabic,2024-12-02,Done,B-,False
S09524,Arabic,2024-11-06,Not Done,F,False
S02886,History,2024-11-27,Done,D,True
S08413,Science,2024-09-10,Done,C-,False
S00531,Math,2024-12-19,Not Done,F,True
S00869,Geography,2024-11-17,Pending,B-,False
S03223,Science,2024-09-17,Done,A+,False
S10609,Math,2025-03-07,Done,C-,False
S00736,Geography,2025-01-20,Not Done,F,False
S10599,Geography,2024-12-08,Done,F,False
S05773,History,2024-12-30,Not Done,A+,False
S03079,Science,2024-09-17,Not Done,A+,False
S06460,Arabic,2024-11-06,Done,B,False
S02286,English,2024-10-23,Done,F,True
S03558,Geography,2025-02-15,Not Done,B,False
S04555,English,2025-01-31,Done,A,False
S05138,History,2025-01-20,Not Done,C-,False
S09536,English,2025-02-02,Done,D,False
S04734,English,2024-11-26,Done,F,True
S09624,History,2025-02-23,Done,D,False
S08816,History,2025-02-21,Not Done,C,True
S08185,Science,2024-09-28,Done,B,False
S09909,English,2024-11-24,Not Done,C,False
S11466,Science,2025-03-08,Done,B-,False
S07383,Math,2025-01-21,Not Done,C,False
S07304,Math,2025-02-10,Done,A+,False
S08104,English,2025-01-04,Not Done,B-,False
S02836,English,2024-10-07,Pending,B,True
S01046,Arabic,2024-10-06,Done,B,False
S00290,Arabic,2024-10-06,Done,C-,False
S06630,English,2024-09-22,Not Done,A,False
S03709,Science,2024-12-28,Done,A+,True
S01601,Math,2024-11-01,Done,A,False
S01995,English,2024-12-02,Done,B,False
S11484,Math,2024-09-17,Done,C,False
S03838,Arabic,2024-11-21,Done,D,True
S08815,English,2024-11-06,Pending,B,True
S11615,History,2025-01-08,Done,F,False
S03231,History,2025-02-18,Not Done,C-,False
S10173,English,2025-01-20,Pending,A+,False
S04939,English,2025-01-02,Done,B,True
S09977,Geography,2025-01-24,Done,C-,True
S00986,English,2025-03-03,Done,B-,False
S01547,Arabic,2024-11-24,Done,D,True
S05251,Science,2024-11-10,Not Done,A+,False
S09656,Geography,2025-01-04,Not Done,A+,False
S06108,Science,2025-01-01,Not Done,A,True
S08033,Arabic,2024-12-23,Not Done,A+,True
S11599,English,2024-12-12,Done,B,False
S07747,English,2024-12-12,Not Done,C,False
S11191,Geography,2024-10-12,Done,B-,False
S00712,English,2024-10-11,Pending,C-,False
S00230,Math,2025-01-30,Pending,F,False
S11118,English,2025-03-04,Pending,F,False
S03281,English,2024-12-28,Done,A+,False
S02697,History,2025-03-09,Not Done,A,False
S05796,Math,2025-01-26,Pending,A+,False
S06682,Geography,2024-10-16,Done,D,True
S10857,Science,2024-09-15,Not Done,A,False
S03736,History,2025-01-30,Done,D,False
S08762,Arabic,2024-12-13,Not Done,C,False
S02699,Math,2024-09-25,Done,A+,True
S11689,Science,2024-11-29,Not Done,B,False
S00930,Arabic,2024-09-16,Done,C,False
S05750,Geography,2024-12-29,Done,A+,False
S08725,Science,2025-01-06,Pending,B,True
S05506,English,2024-11-18,Pending,C-,False
S08009,Arabic,2024-11-19,Not Done,F,True
S09409,Arabic,2024-12-09,Done,D,False
S05536,History,2024-10-10,Done,B-,False
S10522,Geography,2025-01-31,Done,B,False
S00952,History,2024-12-24,Not Done,B-,False
S09145,Science,2024-10-13,Done,A+,True
S00171,History,2025-02-27,Pending,C,True
S01193,Arabic,2024-12-26,Not Done,B,False
S11567,Geography,2025-02-19,Not Done,B-,True
S07583,Science,2025-01-16,Done,A,False
S02886,English,2025-01-18,Done,A,False
S00547,Science,2024-12-04,Pending,B,False
S08280,Arabic,2024-12-02,Pending,A,False
S01820,Science,2025-01-11,Pending,C-,False
S08205,Geography,2024-10-05,Done,A+,False
S09061,Math,2025-02-14,Not Done,B-,False
S03487,Math,2024-11-12,Done,A+,True
S10199,Science,2024-11-18,Done,D,True
S04175,History,2024-09-08,Pending,B,False
S02003,English,2024-10-14,Done,C,False
S07791,History,2024-11-28,Done,A+,False
S01262,Arabic,2024-11-17,Done,B,False
S11158,Geography,2025-02-07,Done,A+,False
S04532,Science,2025-02-23,Not Done,B-,False
S07445,Math,2025-02-26,Done,A+,True
S05831,Arabic,2025-03-06,Done,B-,False
S11181,Arabic,2025-02-16,Done,A+,False
S03361,Science,2024-11-02,Not Done,D,True
S04271,English,2025-02-02,Done,A+,False
S03861,History,2025-03-06,Done,A,False
S10597,Geography,2024-10-11,Not Done,B,False
S09878,Arabic,2025-01-16,Not Done,A+,True
S12020,History,2024-12-23,Not Done,B-,False
S08175,History,2024-12-02,Done,A+,True
S09125,History,2025-01-13,Not Done,F,False
S06591,Science,2024-10-05,Pending,A+,False
S03229,History,2024-11-29,Done,C-,False
S09165,History,2024-11-21,Pending,C-,True
S09959,Geography,2025-01-05,Done,D,True
S09318,Science,2024-09-11,Not Done,C-,True
S10300,Arabic,2024-12-31,Not Done,C-,True
S10231,History,2025-02-24,Not Done,B,True
S10308,Math,2024-10-19,Not Done,B,False
S11308,English,2024-12-01,Not Done,F,False
S05018,Arabic,2025-02-24,Pending,B,False
S11166,Science,2024-11-15,Pending,B-,False
S00812,Arabic,2025-01-01,Pending,B,False
S11170,Geography,2025-01-05,Done,B-,True
S00903,Math,2025-01-05,Not Done,A+,True
S07346,Science,2024-09-19,Done,D,False
S04362,Science,2024-10-14,Not Done,A+,False
S07240,Science,2024-12-15,Not Done,A+,False
S02967,Science,2024-09-08,Done,D,False
S02428,Geography,2024-10-18,Done,C-,True
S06324,English,2024-10-25,Not Done,B,True
S02510,Geography,2024-10-24,Pending,B-,False
S00564,Arabic,2024-12-12,Not Done,A,True
S00222,English,2024-11-08,Done,A,True
S05117,Geography,2025-01-20,Done,C,True
S03206,Science,2025-01-30,Done,D,False
S04894,Science,2025-02-22,Done,C,False
S02576,Science,2025-01-08,Done,A+,True
S09085,Geography,2025-01-30,Done,A+,False
S02153,Science,2024-12-14,Not Done,B-,False
S03294,Geography,2025-01-10,Done,B-,True
S11200,Arabic,2024-12-15,Done,F,False
S04048,Arabic,2024-10-13,Not Done,C,True
S11698,Math,2024-11-04,Done,A+,False
S10587,History,2024-10-19,Not Done,B-,False
S06793,English,2024-09-20,Done,F,False
S06351,English,2024-10-16,Pending,D,False
S03902,Science,2025-01-05,Not Done,F,False
S02779,History,2025-02-26,Done,B-,True
S09816,History,2025-02-20,Done,F,False
S10873,Science,2025-01-18,Not Done,D,False
S05449,Math,2024-10-26,Done,B,False
S10018,Arabic,2024-12-10,Done,B-,True
S07481,English,2025-02-15,Done,D,False
S04581,Arabic,2024-09-26,Done,A+,False
S02238,Geography,2024-12-10,Done,D,False
S09131,Math,2024-12-18,Done,C-,False
S00072,Geography,2024-11-09,Done,C,False
S09293,English,2024-09-08,Done,B,False
S11057,English,2024-12-20,Done,C,True
S05299,Geography,2025-02-27,Done,D,True
S02727,Math,2024-11-14,Done,B,True
S10432,History,2025-02-07,Done,A+,False
S07178,History,2024-10-25,Done,D,False
S04260,Geography,2024-09-15,Not Done,C,False
S07751,English,2024-10-17,Done,A,False
S07686,History,2024-12-12,Done,A,False
S05883,Math,2024-12-14,Done,B-,False
S08558,Science,2025-02-09,Done,C,False
S07397,Arabic,2024-11-30,Not Done,F,False
S06471,Arabic,2025-02-21,Not Done,D,False
S08852,Geography,2024-09-15,Not Done,C-,False
S10263,Math,2024-11-25,Not Done,A,False
S05730,Math,2024-12-02,Done,C,True
S02221,Geography,2024-11-03,Done,F,False
S09452,Science,2024-12-31,Done,F,True
S06760,Arabic,2025-02-20,Done,B-,True
S11354,English,2025-01-24,Done,F,True
S08695,Geography,2025-01-24,Done,C,True
S05931,History,2025-01-16,Pending,C-,False
S07480,History,2024-12-25,Done,A,False
S03783,Arabic,2024-10-23,Done,A,True
S01869,Geography,2025-01-22,Not Done,C-,False
S04403,Math,2024-10-11,Done,F,False
S10265,Math,2024-12-24,Done,A+,False
S10676,Geography,2024-12-02,Pending,B-,False
S02931,English,2025-01-10,Done,D,False
S01616,Math,2024-10-01,Done,C,False
S11761,English,2024-12-24,Not Done,C-,True
S01338,History,2025-01-22,Done,B-,True
S05220,Arabic,2025-02-15,Not Done,A+,True
S01949,Geography,2024-09-13,Not Done,F,True
S02936,Science,2024-10-17,Done,B-,False
S04678,History,2024-12-02,Not Done,F,True
S02485,Geography,2025-02-09,Done,B,True
S04696,Geography,2025-01-01,Done,A,False
S10441,Science,2024-09-24,Not Done,A+,True
S06494,History,2025-02-09,Not Done,B,True
S06169,Science,2025-02-26,Pending,C,True
S01730,Arabic,2025-02-06,Done,A,True
S07481,Science,2024-11-22,Done,C,False
S07715,History,2024-12-14,Done,F,False
S00493,English,2024-12-08,Pending,C,False
S02902,English,2024-12-31,Pending,A+,True
S06472,Math,2024-12-24,Done,B-,False
S11846,Math,2024-09-12,Pending,B-,False
S08832,Science,2024-10-14,Done,A+,True
S07964,Geography,2024-12-08,Not Done,F,True
S09077,Math,2025-02-08,Pending,A+,True
S01018,History,2024-10-05,Pending,D,False
S07659,History,2024-12-26,Done,C-,True
S11004,Geography,2024-12-17,Done,A,True
S01237,Math,2025-02-04,Done,C,False
S01395,Science,2025-03-08,Not Done,D,True
S00079,Math,2024-10-02,Not Done,D,False
S00244,English,2024-09-10,Done,B,False
S03773,Science,2025-02-13,Not Done,C,False
S00515,Geography,2024-10-25,Not Done,D,False
S11309,Science,2025-01-07,Done,D,False
S10264,English,2024-11-21,Not Done,B,True
S07787,Math,2024-11-19,Done,B-,False
S06903,Science,2025-02-25,Done,A,False
S08661,Math,2024-12-04,Not Done,A,False
S03020,Science,2025-01-27,Done,C,True
S09222,History,2024-12-31,Not Done,C-,False
S10652,Science,2024-11-27,Not Done,A+,True
S03184,Arabic,2024-11-28,Not Done,C-,True
S05384,English,2024-10-13,Done,C,True
S03436,Arabic,2024-09-28,Done,C-,False
S01838,Science,2025-01-30,Not Done,F,False
S11808,History,2024-11-30,Not Done,B,True
S03745,History,2025-01-24,Done,A+,True
S11126,Arabic,2025-01-05,Done,A,False
S04130,Geography,2025-03-03,Done,C-,True
S09752,Geography,2024-11-20,Done,D,False
S05986,History,2025-01-23,Done,A+,False
S08041,Geography,2024-12-11,Done,C-,True
S09766,Math,2024-11-05,Done,C,False
S08284,Arabic,2025-01-05,Not Done,D,False
S08628,Math,2024-11-26,Done,A,True
S00235,English,2025-01-29,Not Done,D,True
S07297,English,2024-10-05,Not Done,B,True
S11539,Geography,2025-02-05,Pending,A,True
S06736,English,2024-11-13,Not Done,C-,False
S02652,English,2025-01-29,Not Done,A,False
S11010,Geography,2024-10-13,Done,A+,False
S12025,Geography,2024-09-25,Not Done,A+,False
S10396,History,2024-09-29,Done,B-,True
S02598,Math,2025-01-23,Done,B,True
S06712,English,2024-10-17,Not Done,A+,False
S10841,Arabic,2024-11-15,Pending,A,False
S00612,Science,2024-12-27,Not Done,C,False
S03546,Science,2024-10-02,Not Done,B-,False
S07504,Math,2024-12-25,Done,B-,False
S04155,Math,2024-10-20,Done,C,False
S04012,Arabic,2024-10-12,Done,A,True
S02691,English,2025-01-18,Pending,A+,False
S09740,Geography,2024-11-06,Not Done,B,True
S07572,Geography,2024-09-15,Done,A,True
S05774,English,2025-02-21,Done,D,False
S03950,Science,2025-01-20,Done,B,False
S00734,Math,2024-10-12,Pending,A+,False
S11678,Science,2024-10-11,Done,A+,True
S11739,Arabic,2024-12-02,Done,B-,True
S07502,Geography,2025-01-17,Not Done,A,False
S11133,Geography,2024-11-08,Done,A+,False
S00692,Geography,2025-02-27,Not Done,B,True
S09010,Math,2025-02-21,Done,C,True
S07324,Math,2025-03-05,Pending,C,False
S02200,Math,2025-03-08,Pending,C-,False
S11741,Geography,2024-10-17,Done,A+,False
S02569,Math,2025-02-04,Done,F,True
S11089,History,2024-12-25,Not Done,B,False
S04526,History,2024-11-21,Done,C,True
S11842,Math,2025-01-20,Pending,A,True
S03481,History,2024-12-31,Done,A,False
S04045,Arabic,2024-10-02,Not Done,A,True
S04580,Science,2024-10-06,Done,C-,False
S11316,History,2024-12-14,Done,C-,False
S09232,Geography,2025-01-24,Not Done,C-,True
S03999,Arabic,2024-12-17,Done,B-,False
S11234,Geography,2024-09-22,Not Done,D,False
S03452,English,2024-12-08,Not Done,F,False
S09636,Geography,2024-10-05,Not Done,F,False
S09577,Arabic,2025-03-06,Not Done,B,True
S03242,Arabic,2025-01-14,Not Done,A+,True
S00963,English,2024-11-02,Done,B-,False
S07038,Geography,2024-12-03,Done,F,True
S07962,English,2024-09-28,Not Done,A,False
S02026,History,2025-02-06,Done,F,True
S01616,English,2025-02-09,Pending,A+,True
S06309,Math,2025-01-25,Not Done,B,True
S04172,Math,2024-09-13,Not Done,B,False
S07680,Geography,2024-10-28,Pending,C-,False
S05298,History,2025-01-20,Not Done,A,False
S07765,Geography,2024-09-18,Not Done,A,False
S00460,English,2025-03-06,Pending,A+,False
S09136,Science,2024-09-25,Not Done,B-,False
S11239,Science,2024-12-15,Not Done,D,True
S08832,Math,2025-02-05,Not Done,F,True
S06242,History,2024-11-25,Not Done,A,False
S04831,Arabic,2024-09-16,Done,C-,False
S08039,English,2024-10-14,Not Done,C-,False
S05835,Arabic,2024-11-20,Done,F,False
S03394,English,2025-01-27,Done,A+,False
S06292,Math,2024-11-07,Done,B-,True
S04737,Geography,2024-10-27,Done,C,True
S08735,Science,2024-10-14,Done,C-,True
S04497,Arabic,2024-10-19,Done,B,True
S02525,Geography,2024-09-27,Not Done,B-,False
S00897,Geography,2024-09-20,Done,B-,False
S02797,Geography,2025-03-09,Pending,F,False
S01685,Geography,2024-10-04,Done,A,True
S08965,English,2025-01-18,Not Done,A,False
S05447,Science,2024-12-12,Done,C,True
S03721,History,2025-01-30,Not Done,C-,False
S02896,Math,2025-03-05,Done,F,True
S03596,Math,2024-10-01,Pending,C,True
S06804,Geography,2025-01-30,Not Done,C-,False
S03039,English,2024-12-07,Done,B-,False
S01978,English,2025-01-28,Done,A+,False
S10294,English,2024-12-17,Done,D,True
S10467,Math,2024-10-27,Done,C,True
S07430,History,2024-11-26,Not Done,C-,False
S09923,Geography,2025-02-10,Pending,C-,False
S01991,Math,2025-02-24,Done,F,False
S01741,Arabic,2024-10-24,Not Done,F,False
S02631,English,2025-01-21,Done,D,False
S10329,Math,2025-02-15,Done,F,False
S08151,Math,2024-10-17,Not Done,D,True
S04950,English,2024-11-20,Not Done,F,False
S07866,History,2024-09-25,Done,B-,True
S10220,Math,2025-01-08,Done,F,True
S04722,History,2024-09-16,Done,C,False
S01922,History,2024-10-17,Not Done,D,False
S06014,Math,2024-10-15,Done,B-,False
S10851,English,2024-11-12,Pending,F,False
S04849,Math,2025-02-15,Done,D,False
S09392,Science,2024-11-13,Done,B-,False
S06071,Arabic,2024-12-30,Pending,A,True
S01243,Science,2025-01-26,Not Done,F,True
S05433,Arabic,2024-12-03,Done,F,False
S09446,Math,2025-02-19,Not Done,C-,False
S09269,History,2024-12-03,Done,B-,False
S03417,English,2024-12-05,Done,A,False
S06962,Geography,2025-01-20,Not Done,C-,False
S12039,Geography,2025-01-14,Done,B,False
S07400,Geography,2024-12-23,Not Done,A,False
S11658,History,2025-02-15,Not Done,C-,False
S03334,History,2025-02-19,Done,C,False
S06404,Arabic,2024-12-24,Done,A+,False
S10452,Science,2024-09-28,Done,C,True
S02125,Math,2024-09-08,Pending,D,False
S05494,Arabic,2025-01-14,Done,D,False
S03286,History,2024-12-12,Not Done,C-,False
S06436,Arabic,2025-02-08,Done,A,False
S08415,Science,2024-11-04,Not Done,A+,True
S03642,Science,2024-10-12,Not Done,A,False
S04672,Geography,2024-11-03,Not Done,B,False
S07611,History,2025-01-12,Not Done,A,False
S08738,English,2024-12-09,Not Done,B,False
S11241,Math,2024-12-03,Not Done,C,True
S04703,Science,2024-10-13,Done,B,False
S03211,Geography,2024-11-30,Not Done,B-,True
S00931,English,2025-03-06,Pending,B,False
S11434,Science,2025-02-03,Done,B-,False
S02700,Geography,2025-02-22,Done,A+,False
S07475,Arabic,2025-01-12,Done,A,True
S05740,English,2024-10-10,Done,C-,True
S08128,Arabic,2024-12-20,Done,C-,False
S11792,Science,2024-11-28,Done,D,False
S02907,Arabic,2025-02-18,Done,C,True
S07240,English,2024-12-01,Pending,B,False
S04458,English,2024-11-13,Pending,F,False
S10043,Science,2025-03-03,Done,C,False
S02978,Geography,2024-11-01,Done,B,False
S10632,Geography,2024-09-19,Not Done,A,False
S05313,Geography,2025-02-02,Done,D,False
S10702,Arabic,2024-10-14,Not Done,C,False
S09699,Science,2024-10-04,Done,A,False
S05896,History,2025-01-28,Not Done,A,False
S11751,English,2024-09-11,Done,A,True
S08392,History,2024-11-21,Not Done,B,False
S03533,Geography,2025-02-09,Pending,C-,False
