Student_ID,Date,Message_Type,Month
S06306,2024-10-28,Parent to Teacher,2024-10
S04893,2024-11-15,Automated Reminder,2024-11
S00157,2025-02-23,Parent to Teacher,2025-02
S04590,2024-10-18,Automated Reminder,2024-10
S11828,2024-12-11,Parent to Teacher,2024-12
S08020,2024-10-17,Teacher to Parent,2024-10
S10794,2025-01-30,Parent to Teacher,2025-01
S02610,2024-10-14,Automated Reminder,2024-10
S08936,2024-10-30,Automated Reminder,2024-10
S06037,2024-11-26,Teacher to Parent,2024-11
S07610,2024-11-11,Automated Reminder,2024-11
S11623,2024-09-11,Teacher to Parent,2024-09
S08840,2024-09-25,Teacher to Parent,2024-09
S11570,2024-12-26,Parent to Teacher,2024-12
S02723,2024-10-26,Parent to Teacher,2024-10
S01945,2025-02-02,Parent to Teacher,2025-02
S09375,2024-11-01,Parent to Teacher,2024-11
S09026,2024-10-22,Automated Reminder,2024-10
S08337,2025-02-11,Teacher to Parent,2025-02
S07985,2025-02-25,Teacher to Parent,2025-02
S08681,2024-10-03,Teacher to Parent,2024-10
S01127,2025-01-08,Parent to Teacher,2025-01
S10670,2024-12-07,Parent to Teacher,2024-12
S05705,2025-01-31,Parent to Teacher,2025-01
S07380,2024-12-06,Automated Reminder,2024-12
S05735,2025-02-09,Automated Reminder,2025-02
S08833,2024-11-17,Teacher to Parent,2024-11
S07681,2024-10-02,Parent to Teacher,2024-10
S04011,2024-10-22,Automated Reminder,2024-10
S04434,2025-01-27,Automated Reminder,2025-01
S04564,2024-10-10,Parent to Teacher,2024-10
S05888,2025-02-03,Teacher to Parent,2025-02
S06960,2025-02-26,Parent to Teacher,2025-02
S04275,2024-12-06,Automated Reminder,2024-12
S11784,2025-01-27,Teacher to Parent,2025-01
S09149,2025-02-19,Parent to Teacher,2025-02
S11023,2025-02-08,Parent to Teacher,2025-02
S02701,2024-11-29,Automated Reminder,2024-11
S02000,2024-09-26,Teacher to Parent,2024-09
S04912,2025-01-26,Teacher to Parent,2025-01
S11199,2024-11-21,Automated Reminder,2024-11
S03595,2024-12-13,Teacher to Parent,2024-12
S07260,2024-10-11,Teacher to Parent,2024-10
S00402,2025-02-16,Automated Reminder,2025-02
S08391,2024-10-19,Parent to Teacher,2024-10
S06433,2025-01-30,Teacher to Parent,2025-01
S07704,2025-01-07,Teacher to Parent,2025-01
S11084,2024-11-09,Teacher to Parent,2024-11
S03214,2024-12-30,Automated Reminder,2024-12
S01375,2025-01-18,Teacher to Parent,2025-01
S11035,2024-10-30,Automated Reminder,2024-10
S00621,2024-11-04,Teacher to Parent,2024-11
S06683,2025-02-05,Parent to Teacher,2025-02
S05075,2024-11-21,Teacher to Parent,2024-11
S06575,2024-12-16,Parent to Teacher,2024-12
S04308,2024-10-18,Teacher to Parent,2024-10
S08482,2024-11-04,Teacher to Parent,2024-11
S01527,2025-02-14,Automated Reminder,2025-02
S08599,2025-02-21,Automated Reminder,2025-02
S06515,2025-02-03,Teacher to Parent,2025-02
S01481,2024-10-05,Parent to Teacher,2024-10
S05088,2025-03-07,Teacher to Parent,2025-03
S10721,2024-10-16,Automated Reminder,2024-10
S03107,2024-10-17,Automated Reminder,2024-10
S01292,2024-11-05,Teacher to Parent,2024-11
S01442,2024-10-04,Teacher to Parent,2024-10
S11363,2024-12-27,Parent to Teacher,2024-12
S08254,2024-11-11,Parent to Teacher,2024-11
S08680,2024-11-07,Automated Reminder,2024-11
S09993,2024-10-16,Parent to Teacher,2024-10
S08598,2025-02-12,Teacher to Parent,2025-02
S09185,2024-09-29,Teacher to Parent,2024-09
S04506,2024-10-01,Automated Reminder,2024-10
S05598,2025-01-23,Parent to Teacher,2025-01
S10739,2024-12-30,Parent to Teacher,2024-12
S06925,2024-09-08,Automated Reminder,2024-09
S09307,2024-10-23,Parent to Teacher,2024-10
S02507,2024-10-31,Automated Reminder,2024-10
S03889,2024-12-27,Parent to Teacher,2024-12
S04533,2024-11-25,Automated Reminder,2024-11
S01144,2025-01-11,Teacher to Parent,2025-01
S09351,2024-10-06,Automated Reminder,2024-10
S01065,2025-01-07,Automated Reminder,2025-01
S03402,2025-01-15,Teacher to Parent,2025-01
S06445,2024-11-13,Parent to Teacher,2024-11
S00182,2025-02-05,Parent to Teacher,2025-02
S06620,2024-09-12,Teacher to Parent,2024-09
S04332,2024-10-03,Teacher to Parent,2024-10
S05485,2024-11-18,Parent to Teacher,2024-11
S02045,2025-01-25,Parent to Teacher,2025-01
S07950,2024-12-24,Teacher to Parent,2024-12
S02140,2025-02-10,Teacher to Parent,2025-02
S05178,2025-02-17,Parent to Teacher,2025-02
S03077,2024-12-19,Parent to Teacher,2024-12
S10255,2025-03-09,Parent to Teacher,2025-03
S09805,2024-11-08,Teacher to Parent,2024-11
S00406,2024-10-19,Automated Reminder,2024-10
S00460,2024-11-19,Automated Reminder,2024-11
S08257,2025-03-09,Teacher to Parent,2025-03
S05627,2024-10-06,Parent to Teacher,2024-10
S09442,2025-01-15,Parent to Teacher,2025-01
S01117,2024-11-04,Teacher to Parent,2024-11
S02523,2024-11-22,Automated Reminder,2024-11
S11409,2024-11-25,Teacher to Parent,2024-11
S10770,2025-02-07,Parent to Teacher,2025-02
S04629,2024-09-09,Parent to Teacher,2024-09
S10570,2025-03-05,Teacher to Parent,2025-03
S11240,2024-11-11,Teacher to Parent,2024-11
S08280,2025-03-02,Teacher to Parent,2025-03
S05431,2025-01-10,Parent to Teacher,2025-01
S11387,2024-09-29,Parent to Teacher,2024-09
S00004,2025-03-05,Automated Reminder,2025-03
S04059,2025-02-13,Parent to Teacher,2025-02
S02234,2024-12-18,Automated Reminder,2024-12
S12135,2024-10-02,Automated Reminder,2024-10
S02697,2024-12-29,Automated Reminder,2024-12
S10472,2024-12-27,Teacher to Parent,2024-12
S01299,2024-12-06,Teacher to Parent,2024-12
S10629,2024-12-18,Parent to Teacher,2024-12
S10315,2024-12-13,Teacher to Parent,2024-12
S10339,2025-02-14,Teacher to Parent,2025-02
S00503,2024-12-17,Automated Reminder,2024-12
S09350,2024-10-29,Automated Reminder,2024-10
S02964,2025-01-27,Teacher to Parent,2025-01
S10258,2025-02-06,Teacher to Parent,2025-02
S04119,2025-01-30,Automated Reminder,2025-01
S07184,2024-10-11,Parent to Teacher,2024-10
S07085,2024-09-14,Parent to Teacher,2024-09
S03179,2024-09-14,Parent to Teacher,2024-09
S07703,2024-11-30,Parent to Teacher,2024-11
S02765,2024-10-15,Automated Reminder,2024-10
S04932,2025-02-06,Teacher to Parent,2025-02
S07991,2024-12-16,Teacher to Parent,2024-12
S00042,2024-12-13,Automated Reminder,2024-12
S02866,2024-10-24,Teacher to Parent,2024-10
S08262,2024-12-11,Automated Reminder,2024-12
S00401,2025-02-11,Automated Reminder,2025-02
S00786,2025-01-14,Teacher to Parent,2025-01
S03625,2025-02-02,Automated Reminder,2025-02
S07653,2024-10-03,Teacher to Parent,2024-10
S00093,2024-11-18,Automated Reminder,2024-11
S08870,2024-10-11,Teacher to Parent,2024-10
S01808,2025-01-19,Teacher to Parent,2025-01
S08497,2024-12-16,Automated Reminder,2024-12
S09316,2025-01-14,Teacher to Parent,2025-01
S06739,2024-09-18,Automated Reminder,2024-09
S05480,2024-10-26,Automated Reminder,2024-10
S03517,2024-10-30,Teacher to Parent,2024-10
S07791,2024-10-18,Teacher to Parent,2024-10
S03959,2025-03-07,Parent to Teacher,2025-03
S07501,2024-09-19,Parent to Teacher,2024-09
S05231,2024-12-16,Automated Reminder,2024-12
S00272,2025-03-01,Automated Reminder,2025-03
S05643,2024-10-29,Teacher to Parent,2024-10
S01348,2024-10-02,Automated Reminder,2024-10
S08663,2024-11-23,Teacher to Parent,2024-11
S06908,2025-01-31,Parent to Teacher,2025-01
S11815,2025-02-23,Automated Reminder,2025-02
S08798,2024-12-27,Teacher to Parent,2024-12
S08415,2024-12-11,Teacher to Parent,2024-12
S08607,2024-11-13,Automated Reminder,2024-11
S10890,2024-11-02,Automated Reminder,2024-11
S01189,2024-11-01,Parent to Teacher,2024-11
S11395,2024-10-07,Automated Reminder,2024-10
S11854,2024-09-19,Parent to Teacher,2024-09
S00435,2024-12-18,Parent to Teacher,2024-12
S01538,2024-10-06,Teacher to Parent,2024-10
S02028,2024-10-08,Teacher to Parent,2024-10
S02237,2025-02-05,Parent to Teacher,2025-02
S04458,2025-02-07,Automated Reminder,2025-02
S02512,2025-02-27,Teacher to Parent,2025-02
S04752,2024-12-02,Automated Reminder,2024-12
S00753,2024-12-22,Parent to Teacher,2024-12
S08842,2024-11-12,Automated Reminder,2024-11
S03137,2024-11-11,Automated Reminder,2024-11
S06117,2024-12-21,Teacher to Parent,2024-12
S05252,2024-10-07,Automated Reminder,2024-10
S02557,2024-11-22,Teacher to Parent,2024-11
S04453,2024-11-08,Automated Reminder,2024-11
S02618,2024-09-17,Teacher to Parent,2024-09
S11555,2025-02-26,Parent to Teacher,2025-02
S06474,2024-09-09,Parent to Teacher,2024-09
S03840,2024-09-25,Parent to Teacher,2024-09
S10789,2024-09-20,Parent to Teacher,2024-09
S11871,2025-02-22,Parent to Teacher,2025-02
S06994,2024-11-13,Teacher to Parent,2024-11
S08837,2024-10-03,Teacher to Parent,2024-10
S10354,2024-10-23,Automated Reminder,2024-10
S04183,2024-12-27,Teacher to Parent,2024-12
S02190,2024-12-26,Teacher to Parent,2024-12
S07464,2024-12-22,Parent to Teacher,2024-12
S00179,2025-02-27,Automated Reminder,2025-02
S07611,2025-01-19,Teacher to Parent,2025-01
S12033,2024-10-01,Teacher to Parent,2024-10
S00150,2024-09-21,Parent to Teacher,2024-09
S03518,2024-10-28,Parent to Teacher,2024-10
S10791,2024-12-22,Automated Reminder,2024-12
S11774,2025-03-09,Parent to Teacher,2025-03
S03499,2024-10-04,Automated Reminder,2024-10
S02236,2024-11-13,Parent to Teacher,2024-11
S02434,2024-10-28,Teacher to Parent,2024-10
S01598,2024-12-07,Teacher to Parent,2024-12
S08939,2025-02-14,Teacher to Parent,2025-02
S10104,2024-10-23,Parent to Teacher,2024-10
S04962,2024-12-01,Teacher to Parent,2024-12
S09386,2024-11-24,Teacher to Parent,2024-11
S11975,2024-12-20,Automated Reminder,2024-12
S00016,2025-02-16,Automated Reminder,2025-02
S08954,2024-10-06,Parent to Teacher,2024-10
S10479,2025-03-04,Automated Reminder,2025-03
S11812,2024-09-21,Teacher to Parent,2024-09
S08211,2024-09-09,Teacher to Parent,2024-09
S01021,2025-01-28,Teacher to Parent,2025-01
S04295,2025-02-07,Parent to Teacher,2025-02
S10445,2025-01-29,Automated Reminder,2025-01
S00282,2024-12-22,Parent to Teacher,2024-12
S01955,2024-10-16,Automated Reminder,2024-10
S06656,2025-02-20,Parent to Teacher,2025-02
S01066,2024-09-09,Parent to Teacher,2024-09
S03770,2025-01-18,Teacher to Parent,2025-01
S05258,2024-11-30,Automated Reminder,2024-11
S11449,2024-10-26,Teacher to Parent,2024-10
S11317,2024-12-02,Automated Reminder,2024-12
S05747,2024-11-22,Teacher to Parent,2024-11
S07657,2025-01-09,Parent to Teacher,2025-01
S00564,2024-10-11,Teacher to Parent,2024-10
S06244,2024-12-16,Parent to Teacher,2024-12
S11374,2025-01-31,Teacher to Parent,2025-01
S00591,2024-12-23,Parent to Teacher,2024-12
S04262,2024-09-10,Automated Reminder,2024-09
S09302,2025-02-24,Parent to Teacher,2025-02
S09269,2024-11-04,Teacher to Parent,2024-11
S02223,2024-09-09,Teacher to Parent,2024-09
S10782,2025-03-08,Teacher to Parent,2025-03
S05643,2024-12-10,Automated Reminder,2024-12
S02270,2024-10-16,Teacher to Parent,2024-10
S12013,2024-09-13,Teacher to Parent,2024-09
S10004,2024-09-30,Parent to Teacher,2024-09
S07682,2025-02-06,Parent to Teacher,2025-02
S03549,2024-09-26,Parent to Teacher,2024-09
S02359,2025-02-02,Parent to Teacher,2025-02
S06108,2025-02-01,Teacher to Parent,2025-02
S03290,2025-02-14,Automated Reminder,2025-02
S00712,2024-11-04,Teacher to Parent,2024-11
S09400,2024-11-09,Automated Reminder,2024-11
S07042,2024-12-07,Parent to Teacher,2024-12
S04692,2024-10-11,Parent to Teacher,2024-10
S04247,2024-12-17,Parent to Teacher,2024-12
S07320,2025-01-31,Parent to Teacher,2025-01
S11143,2024-11-27,Teacher to Parent,2024-11
S08406,2024-10-31,Parent to Teacher,2024-10
S06165,2024-11-13,Teacher to Parent,2024-11
S05595,2024-11-06,Parent to Teacher,2024-11
S03440,2024-10-18,Automated Reminder,2024-10
S01749,2024-11-10,Parent to Teacher,2024-11
S07939,2025-01-31,Parent to Teacher,2025-01
S08070,2024-09-11,Automated Reminder,2024-09
S07506,2024-10-12,Automated Reminder,2024-10
S10657,2025-01-05,Automated Reminder,2025-01
S05344,2025-02-14,Automated Reminder,2025-02
S11942,2024-12-31,Parent to Teacher,2024-12
S11435,2025-02-14,Automated Reminder,2025-02
S00314,2024-12-07,Teacher to Parent,2024-12
S08571,2024-11-03,Teacher to Parent,2024-11
S10017,2024-09-27,Teacher to Parent,2024-09
S01741,2025-02-27,Automated Reminder,2025-02
S01242,2024-12-23,Parent to Teacher,2024-12
S04826,2024-10-22,Automated Reminder,2024-10
S10803,2024-09-09,Parent to Teacher,2024-09
S04586,2025-01-09,Teacher to Parent,2025-01
S04858,2025-01-12,Parent to Teacher,2025-01
S02538,2024-09-12,Automated Reminder,2024-09
S04821,2024-09-17,Teacher to Parent,2024-09
S07873,2024-09-27,Automated Reminder,2024-09
S00340,2024-09-08,Teacher to Parent,2024-09
S01928,2024-10-18,Automated Reminder,2024-10
S12083,2024-11-27,Parent to Teacher,2024-11
S00370,2024-12-15,Automated Reminder,2024-12
S08753,2024-10-12,Automated Reminder,2024-10
S03825,2024-12-17,Parent to Teacher,2024-12
S09562,2024-11-05,Teacher to Parent,2024-11
S10836,2024-10-07,Teacher to Parent,2024-10
S04690,2024-12-10,Teacher to Parent,2024-12
S08358,2024-11-04,Parent to Teacher,2024-11
S11140,2024-09-13,Teacher to Parent,2024-09
S02048,2024-10-10,Parent to Teacher,2024-10
S02992,2024-10-26,Teacher to Parent,2024-10
S09797,2024-11-22,Teacher to Parent,2024-11
S03868,2024-11-19,Automated Reminder,2024-11
S07122,2024-11-05,Automated Reminder,2024-11
S05473,2024-12-10,Teacher to Parent,2024-12
S04234,2024-09-23,Automated Reminder,2024-09
S07852,2024-12-21,Automated Reminder,2024-12
S07522,2024-11-06,Automated Reminder,2024-11
S03574,2025-02-10,Teacher to Parent,2025-02
S12111,2025-02-08,Parent to Teacher,2025-02
S01734,2024-09-22,Automated Reminder,2024-09
S07235,2025-01-28,Parent to Teacher,2025-01
S10101,2024-09-29,Automated Reminder,2024-09
S09309,2024-12-02,Automated Reminder,2024-12
S08779,2025-02-07,Parent to Teacher,2025-02
S05673,2024-09-16,Automated Reminder,2024-09
S02926,2024-09-22,Teacher to Parent,2024-09
S07286,2025-02-20,Parent to Teacher,2025-02
S02557,2024-11-08,Parent to Teacher,2024-11
S04147,2025-01-06,Automated Reminder,2025-01
S06985,2024-12-06,Automated Reminder,2024-12
S08250,2024-12-18,Automated Reminder,2024-12
S11641,2025-03-03,Automated Reminder,2025-03
S07747,2024-11-30,Parent to Teacher,2024-11
S08767,2024-12-01,Parent to Teacher,2024-12
S09459,2025-01-16,Parent to Teacher,2025-01
S04716,2024-12-25,Parent to Teacher,2024-12
S03546,2025-01-04,Parent to Teacher,2025-01
S03072,2025-01-17,Automated Reminder,2025-01
S04317,2025-01-26,Automated Reminder,2025-01
S09447,2025-01-18,Parent to Teacher,2025-01
S01650,2024-11-23,Teacher to Parent,2024-11
S09371,2025-01-18,Teacher to Parent,2025-01
S02509,2024-12-31,Automated Reminder,2024-12
S10452,2025-01-25,Automated Reminder,2025-01
S03290,2024-12-21,Teacher to Parent,2024-12
S01699,2025-02-12,Teacher to Parent,2025-02
S10857,2024-11-26,Parent to Teacher,2024-11
S02059,2024-10-07,Teacher to Parent,2024-10
S04321,2024-12-06,Automated Reminder,2024-12
S04691,2024-12-07,Automated Reminder,2024-12
S00584,2025-03-05,Automated Reminder,2025-03
S10636,2024-10-31,Automated Reminder,2024-10
S06147,2024-10-05,Teacher to Parent,2024-10
S05642,2024-12-06,Parent to Teacher,2024-12
S02579,2024-11-03,Teacher to Parent,2024-11
S06683,2024-11-03,Parent to Teacher,2024-11
S09526,2024-11-02,Automated Reminder,2024-11
S12020,2025-01-09,Teacher to Parent,2025-01
S09971,2024-12-27,Teacher to Parent,2024-12
S11634,2025-02-11,Teacher to Parent,2025-02
S10566,2024-12-16,Teacher to Parent,2024-12
S01852,2025-03-04,Teacher to Parent,2025-03
S02366,2024-10-08,Automated Reminder,2024-10
S11170,2024-12-22,Parent to Teacher,2024-12
S09212,2025-02-13,Teacher to Parent,2025-02
S00243,2024-12-17,Parent to Teacher,2024-12
S05405,2024-11-11,Parent to Teacher,2024-11
S03206,2025-01-02,Teacher to Parent,2025-01
S05638,2025-01-17,Automated Reminder,2025-01
S03428,2025-01-05,Automated Reminder,2025-01
S01426,2025-01-28,Parent to Teacher,2025-01
S10150,2025-03-09,Automated Reminder,2025-03
S01427,2024-11-30,Parent to Teacher,2024-11
S01964,2024-10-05,Parent to Teacher,2024-10
S06662,2025-02-21,Parent to Teacher,2025-02
S09113,2024-10-03,Teacher to Parent,2024-10
S05615,2024-11-25,Automated Reminder,2024-11
S11371,2025-02-09,Automated Reminder,2025-02
S07634,2025-02-13,Parent to Teacher,2025-02
S05185,2025-01-03,Parent to Teacher,2025-01
S03223,2025-01-02,Teacher to Parent,2025-01
S02062,2025-01-01,Teacher to Parent,2025-01
S09908,2024-12-22,Automated Reminder,2024-12
S02663,2025-03-01,Automated Reminder,2025-03
S00577,2024-09-10,Parent to Teacher,2024-09
S00932,2024-11-22,Automated Reminder,2024-11
S04110,2024-09-20,Parent to Teacher,2024-09
S02680,2025-01-08,Automated Reminder,2025-01
S12028,2024-10-21,Teacher to Parent,2024-10
S04914,2024-11-29,Automated Reminder,2024-11
S05061,2024-11-05,Automated Reminder,2024-11
S06925,2025-01-13,Automated Reminder,2025-01
S09586,2025-02-26,Automated Reminder,2025-02
S03617,2024-11-15,Automated Reminder,2024-11
S04666,2024-12-22,Teacher to Parent,2024-12
S04107,2025-02-22,Parent to Teacher,2025-02
S10635,2025-01-11,Teacher to Parent,2025-01
S07835,2024-09-12,Teacher to Parent,2024-09
S11035,2025-01-06,Parent to Teacher,2025-01
S09992,2024-10-31,Teacher to Parent,2024-10
S04078,2025-01-14,Parent to Teacher,2025-01
S04842,2024-09-17,Teacher to Parent,2024-09
S10134,2024-09-19,Parent to Teacher,2024-09
S05097,2025-02-04,Automated Reminder,2025-02
S06233,2024-09-30,Automated Reminder,2024-09
S00013,2025-03-03,Teacher to Parent,2025-03
S02474,2025-01-19,Teacher to Parent,2025-01
S10433,2024-12-10,Teacher to Parent,2024-12
S00732,2024-12-28,Teacher to Parent,2024-12
S02350,2024-11-07,Automated Reminder,2024-11
S06062,2025-02-02,Automated Reminder,2025-02
S11037,2024-09-08,Automated Reminder,2024-09
S02498,2024-09-09,Teacher to Parent,2024-09
S04784,2024-12-16,Parent to Teacher,2024-12
S07413,2025-01-07,Parent to Teacher,2025-01
S11477,2024-11-18,Parent to Teacher,2024-11
S00225,2024-12-31,Automated Reminder,2024-12
S02546,2025-02-14,Automated Reminder,2025-02
S06068,2025-02-08,Parent to Teacher,2025-02
S09375,2024-09-27,Automated Reminder,2024-09
S05628,2025-01-18,Teacher to Parent,2025-01
S04600,2025-01-07,Parent to Teacher,2025-01
S07809,2025-02-16,Parent to Teacher,2025-02
S06238,2024-12-14,Automated Reminder,2024-12
S08582,2024-12-02,Teacher to Parent,2024-12
S02226,2025-02-14,Teacher to Parent,2025-02
S11910,2024-10-07,Teacher to Parent,2024-10
S04079,2025-02-09,Automated Reminder,2025-02
S11352,2024-10-02,Teacher to Parent,2024-10
S10206,2024-11-26,Parent to Teacher,2024-11
S08565,2025-01-25,Teacher to Parent,2025-01
S11669,2024-10-19,Teacher to Parent,2024-10
S05797,2024-10-07,Teacher to Parent,2024-10
S10720,2025-02-22,Teacher to Parent,2025-02
S07395,2025-01-28,Parent to Teacher,2025-01
S07666,2024-12-31,Automated Reminder,2024-12
S05327,2024-10-14,Parent to Teacher,2024-10
S00901,2024-12-16,Teacher to Parent,2024-12
S07763,2024-11-24,Automated Reminder,2024-11
S08299,2024-10-30,Parent to Teacher,2024-10
S01974,2025-02-28,Parent to Teacher,2025-02
S04445,2024-10-21,Parent to Teacher,2024-10
S09054,2024-10-23,Teacher to Parent,2024-10
S09946,2024-10-17,Parent to Teacher,2024-10
S08137,2024-10-26,Automated Reminder,2024-10
S08260,2024-10-15,Teacher to Parent,2024-10
S00267,2024-12-23,Parent to Teacher,2024-12
S09370,2025-01-14,Teacher to Parent,2025-01
S04295,2024-12-29,Automated Reminder,2024-12
S11600,2024-11-06,Automated Reminder,2024-11
S00807,2024-11-11,Teacher to Parent,2024-11
S09302,2025-01-01,Teacher to Parent,2025-01
S08210,2024-09-20,Automated Reminder,2024-09
S08677,2025-01-29,Teacher to Parent,2025-01
S06553,2024-10-31,Teacher to Parent,2024-10
S05882,2024-11-04,Automated Reminder,2024-11
S02584,2024-11-26,Teacher to Parent,2024-11
S06980,2024-11-12,Automated Reminder,2024-11
S03783,2025-02-21,Parent to Teacher,2025-02
S04244,2025-01-07,Parent to Teacher,2025-01
S01312,2024-10-23,Parent to Teacher,2024-10
S11665,2024-11-14,Teacher to Parent,2024-11
S04829,2024-09-17,Parent to Teacher,2024-09
S05243,2024-12-13,Parent to Teacher,2024-12
S04993,2024-09-10,Teacher to Parent,2024-09
S06254,2024-11-10,Parent to Teacher,2024-11
S10424,2024-12-15,Teacher to Parent,2024-12
S01912,2024-11-24,Automated Reminder,2024-11
S09671,2024-10-11,Automated Reminder,2024-10
S04926,2024-10-30,Parent to Teacher,2024-10
S09534,2024-10-13,Parent to Teacher,2024-10
S10488,2025-02-06,Teacher to Parent,2025-02
S04144,2024-11-13,Parent to Teacher,2024-11
S02145,2024-12-05,Parent to Teacher,2024-12
S00978,2024-12-18,Parent to Teacher,2024-12
S03923,2024-10-25,Teacher to Parent,2024-10
S04344,2024-11-08,Automated Reminder,2024-11
S03701,2024-09-11,Teacher to Parent,2024-09
S00605,2025-01-16,Parent to Teacher,2025-01
S05471,2024-10-08,Teacher to Parent,2024-10
S04684,2024-10-06,Teacher to Parent,2024-10
S01081,2024-09-11,Parent to Teacher,2024-09
S04120,2025-02-17,Automated Reminder,2025-02
S11284,2025-02-12,Automated Reminder,2025-02
S10306,2024-11-21,Parent to Teacher,2024-11
