Student_ID,Subject,Exam_Score,Homework_Completion_%
S05433,History,101,95.0
S05632,Science,108,95.0
S01780,English,100,95.0
S07918,Science,96,100.0
S11822,History,57,95.0
S07478,History,54,100.0
S06287,History,104,80.0
S02366,Science,72,95.0
S02059,Math,105,95.0
S04934,History,74,95.0
S02645,Geography,83,95.0
S10225,Science,75,80.0
S08707,Arabic,63,80.0
S07173,Geography,44,100.0
S05611,Science,99,80.0
S02289,History,57,95.0
S11424,English,67,90.0
S05037,History,49,95.0
S08743,Math,42,95.0
S03226,Math,87,100.0
S08220,Math,105,100.0
S03617,Geography,100,95.0
S05844,English,40,80.0
S01904,Arabic,53,95.0
S03924,English,93,90.0
S07153,Arabic,79,95.0
S09125,Math,68,95.0
S03383,Math,58,100.0
S09487,English,60,95.0
S05876,English,84,90.0
S03058,Math,96,95.0
S03644,Arabic,88,90.0
S11755,English,63,80.0
S11383,Science,41,80.0
S07051,Geography,97,95.0
S10964,Math,41,100.0
S03956,English,55,100.0
S04375,English,62,90.0
S07091,Geography,55,95.0
S00357,Math,106,100.0
S09672,Geography,49,95.0
S06644,Geography,72,95.0
S00191,History,63,95.0
S10604,Math,50,90.0
S01748,Science,71,95.0
S06170,Math,63,95.0
S00549,Science,69,100.0
S01966,Science,94,95.0
S06061,Arabic,72,100.0
S05025,Arabic,87,90.0
S09432,Arabic,59,80.0
S02218,English,96,90.0
S00045,Geography,85,90.0
S08529,Math,60,80.0
S08611,Arabic,78,80.0
S03883,Math,58,80.0
S03291,Science,88,95.0
S04877,Math,85,90.0
S09243,Science,53,95.0
S05373,English,105,80.0
S04243,Math,110,90.0
S09275,Science,61,95.0
S06220,History,85,90.0
S04635,History,40,95.0
S03124,Science,42,95.0
S06944,History,59,95.0
S00538,Science,43,95.0
S03056,Geography,108,90.0
S10087,History,105,80.0
S04014,Math,98,90.0
S08136,Arabic,91,95.0
S04907,Science,110,80.0
S02390,History,90,80.0
S10625,Arabic,71,100.0
S01951,Math,62,90.0
S10542,English,97,95.0
S10748,English,82,90.0
S06592,Math,64,100.0
S10919,Geography,87,80.0
S04460,Science,81,95.0
S03618,English,107,90.0
S07162,History,55,95.0
S07707,English,110,80.0
S05273,Science,45,95.0
S04397,Arabic,87,95.0
S00862,History,63,80.0
S03578,Geography,66,80.0
S11021,English,84,80.0
S07153,Science,86,95.0
S00309,History,43,80.0
S05947,History,67,95.0
S11589,English,104,95.0
S08813,Geography,82,100.0
S03670,Science,52,95.0
S10490,Arabic,109,80.0
S06422,Arabic,80,100.0
S07869,Science,75,90.0
S08716,Geography,55,95.0
S04648,English,83,80.0
S04117,History,64,90.0
S03310,History,106,90.0
S01526,English,88,95.0
S10484,History,78,80.0
S02275,Science,52,95.0
S04409,Math,99,95.0
S04977,English,99,90.0
S04215,History,96,100.0
S09231,Geography,108,100.0
S06417,Science,70,90.0
S08250,English,96,100.0
S02153,Geography,84,95.0
S09033,Geography,107,100.0
S11290,Math,78,95.0
S08167,English,65,100.0
S01556,Science,103,95.0
S10069,Geography,80,100.0
S07228,English,69,80.0
S01519,English,103,80.0
S05011,Arabic,103,95.0
S09317,History,49,95.0
S03684,Math,106,95.0
S04813,Math,86,95.0
S07983,Geography,101,90.0
S00047,English,58,95.0
S04959,Geography,65,100.0
S11357,Arabic,71,95.0
S03287,Arabic,45,95.0
S07962,Math,92,100.0
S08717,Science,71,80.0
S01286,English,106,80.0
S09741,English,49,95.0
S04809,History,68,90.0
S08821,History,42,100.0
S05893,Arabic,70,80.0
S00396,Arabic,85,95.0
S11922,Geography,43,80.0
S10032,Arabic,79,80.0
S11337,Science,48,90.0
S05222,Arabic,90,90.0
S08763,English,91,90.0
S04122,Math,40,95.0
S08505,Math,108,80.0
S01223,Math,74,95.0
S00420,Geography,79,95.0
S02639,Science,98,100.0
S11645,Arabic,94,90.0
S00135,Science,87,80.0
S09803,English,96,100.0
S09875,Math,85,80.0
S06607,English,86,80.0
S09270,Math,69,100.0
S10057,English,85,80.0
S01574,Math,91,95.0
S08324,History,87,80.0
S06103,English,43,80.0
S03708,Geography,72,95.0
S10792,Arabic,95,95.0
S06453,Arabic,96,100.0
S09628,Geography,54,95.0
S02446,History,105,95.0
S10111,History,78,100.0
S08553,Geography,61,80.0
S12136,English,41,90.0
S05190,Science,73,95.0
S11590,Geography,44,95.0
S04363,English,44,90.0
S07536,Arabic,64,95.0
S11210,Math,81,90.0
S03660,History,76,95.0
S00981,Math,65,95.0
S02405,Arabic,82,95.0
S05676,Math,52,80.0
S11567,Arabic,41,80.0
S08679,Math,63,80.0
S05932,Arabic,72,90.0
S01128,Arabic,78,95.0
S10842,Science,85,90.0
S08602,Science,81,100.0
S05530,History,109,100.0
S01492,Science,40,80.0
S04647,Geography,76,90.0
S04587,Geography,98,95.0
S02163,Geography,84,90.0
S05943,Geography,103,90.0
S10716,Math,95,95.0
S10171,Math,45,100.0
S12119,Geography,61,80.0
S03018,History,49,90.0
S09738,History,89,80.0
S04593,Arabic,83,95.0
S00636,Math,109,95.0
S06140,Science,86,95.0
S09205,History,88,90.0
S03959,Geography,44,90.0
S10773,English,92,95.0
S09154,Geography,95,80.0
S06217,Arabic,68,95.0
S01124,Arabic,42,90.0
S04381,Math,69,90.0
S03207,Science,84,95.0
S03185,Arabic,103,95.0
S04098,Science,81,95.0
S10130,Math,72,90.0
S04190,English,77,95.0
S07667,Math,71,90.0
S10770,Science,77,100.0
S04300,Science,80,90.0
S05649,Geography,108,95.0
S07930,Science,88,95.0
S06943,Science,69,95.0
S08727,English,46,90.0
S02980,Arabic,42,100.0
S04791,Math,70,90.0
S11407,English,65,90.0
S10213,English,98,80.0
S08818,English,65,80.0
S11998,Science,98,90.0
S07903,Science,69,95.0
S02615,Math,74,90.0
S07739,English,83,80.0
S10608,English,63,90.0
S04972,Math,99,100.0
S03179,English,82,95.0
S06143,Science,101,95.0
S11325,Math,100,100.0
S05766,History,54,80.0
S10239,Science,106,90.0
S02784,English,56,90.0
S10721,Science,98,95.0
S10754,History,52,95.0
S10991,Math,96,95.0
S11987,Geography,43,95.0
S01943,English,107,90.0
S09748,Math,76,95.0
S11774,Arabic,81,90.0
S01540,Math,82,100.0
S08883,English,75,90.0
S11108,History,44,100.0
S02703,Math,72,90.0
S05113,History,57,95.0
S08680,Science,78,95.0
S09365,Arabic,62,90.0
S08863,Math,62,100.0
S12055,History,52,90.0
S07786,Math,108,95.0
S10739,Science,54,80.0
S00334,Science,55,95.0
S06188,History,44,95.0
S01496,English,45,80.0
S06203,English,49,90.0
S11762,Geography,58,95.0
S11508,History,79,95.0
S04470,Geography,42,95.0
S01588,Arabic,52,100.0
S10698,Arabic,57,95.0
S00705,Science,93,95.0
S12031,History,110,100.0
S11070,Geography,97,80.0
S10937,Geography,80,100.0
S10539,Geography,68,100.0
S07615,Science,86,95.0
S02398,Arabic,57,100.0
S07508,Geography,79,95.0
S02480,History,49,95.0
S01675,Geography,109,90.0
S08282,English,63,90.0
S05211,Science,58,90.0
S04702,Geography,104,100.0
S10578,Geography,96,90.0
S07676,Arabic,43,90.0
S01863,Arabic,55,80.0
S02491,Math,90,95.0
S01837,Math,86,80.0
S08441,Science,47,95.0
S00407,History,46,100.0
S05546,Geography,68,100.0
S07130,Math,94,90.0
S08936,Math,61,80.0
S11285,Math,62,95.0
S01458,English,55,90.0
S05145,Geography,52,100.0
S11745,Math,46,95.0
S03855,Science,95,95.0
S00879,History,47,80.0
S06148,History,95,100.0
S09429,Geography,107,95.0
S05784,Math,104,80.0
S04003,Math,109,90.0
S02562,Geography,90,80.0
S08348,Arabic,101,95.0
S04574,English,96,90.0
S07661,History,101,95.0
S10008,English,60,95.0
S11027,History,48,100.0
S02387,Science,47,95.0
S08174,Science,58,80.0
S08296,Science,83,95.0
S05715,English,94,90.0
S11358,Arabic,75,100.0
S00990,Math,98,95.0
S08965,Geography,64,95.0
S03174,History,54,100.0
S03960,Math,41,80.0
S07349,History,91,90.0
S01400,Geography,80,80.0
S02308,English,77,90.0
S02402,Geography,108,80.0
S03488,Math,52,95.0
S04783,History,62,95.0
S01298,Math,55,90.0
S09078,Science,55,80.0
S10350,Geography,73,95.0
S01076,Geography,76,95.0
S08894,History,73,95.0
S10492,History,110,95.0
S03408,Arabic,54,80.0
S03269,Science,96,95.0
S10028,Arabic,84,95.0
S10005,English,65,90.0
S01403,Arabic,93,90.0
S08512,Science,103,90.0
S08835,Math,89,90.0
S01623,Geography,93,100.0
S02776,Science,58,95.0
S04099,Arabic,82,95.0
S04493,Arabic,74,95.0
S04597,Science,89,100.0
S01637,Math,59,90.0
S11634,English,91,100.0
S03335,Science,94,95.0
S05634,Science,95,95.0
S00695,Arabic,56,80.0
S06963,History,86,95.0
S02029,English,105,100.0
S01824,History,72,100.0
S02317,History,67,80.0
S09099,Math,103,90.0
S09658,Arabic,88,95.0
S03842,History,55,95.0
S03567,Arabic,101,90.0
S05892,History,44,80.0
S03460,Arabic,83,100.0
S10993,History,52,80.0
S10159,English,92,90.0
S10788,English,71,100.0
S06529,History,110,95.0
S08393,Science,70,95.0
S11687,History,82,95.0
S01904,Arabic,72,90.0
S09030,Math,106,95.0
S09523,English,79,90.0
S03834,English,46,95.0
S07547,Arabic,59,90.0
S06933,History,88,95.0
S08286,Math,98,95.0
S07579,Arabic,84,80.0
S03317,Science,52,95.0
S07603,Math,91,90.0
S00147,Math,63,95.0
S04346,Geography,104,90.0
S00740,History,92,90.0
S00545,History,109,80.0
S11954,Math,102,80.0
S09779,Math,71,100.0
S06391,Math,59,95.0
S04323,Arabic,63,90.0
S08717,Science,45,100.0
S00160,Math,101,100.0
S04529,History,96,100.0
S06726,Arabic,101,95.0
S10188,Math,100,95.0
S02381,Geography,100,90.0
S09792,Arabic,93,90.0
S09557,Geography,75,100.0
S10511,Math,103,100.0
S09098,History,60,100.0
S09653,Arabic,62,80.0
S09310,History,88,80.0
S02488,History,52,90.0
S05579,Science,84,95.0
S04966,Arabic,56,90.0
S01208,Arabic,70,100.0
S02270,Arabic,61,95.0
S05267,Arabic,47,95.0
S03899,Arabic,82,95.0
S08376,Geography,98,80.0
S06033,Arabic,104,80.0
S10349,Science,69,90.0
S08620,Science,69,95.0
S08603,History,100,80.0
S04173,History,46,95.0
S01716,English,59,90.0
S01139,History,72,95.0
S02045,Arabic,76,80.0
S04167,Arabic,98,100.0
S07907,Science,105,95.0
S06350,Geography,72,95.0
S07308,History,89,95.0
S05975,Arabic,85,95.0
S09761,Science,105,100.0
S04164,Arabic,92,95.0
S04806,Science,48,95.0
S03558,Science,54,95.0
S06996,Arabic,75,95.0
S10058,Arabic,80,95.0
S09556,Math,84,90.0
S11107,History,75,100.0
S09546,Arabic,46,95.0
S02214,Geography,48,80.0
S04399,English,96,95.0
S09223,Math,83,95.0
S08974,Geography,87,95.0
S06802,Science,62,90.0
S10040,Arabic,77,95.0
S06362,Geography,75,80.0
S05672,English,54,100.0
S04101,History,87,95.0
S08394,Geography,103,95.0
S00546,English,76,100.0
S00762,Arabic,76,95.0
S07833,History,93,95.0
S12124,Arabic,89,95.0
S05001,Arabic,103,95.0
S02904,Arabic,101,80.0
S05858,Science,41,100.0
S01536,Arabic,81,90.0
S09076,History,71,95.0
S02638,Geography,43,95.0
S09782,Science,89,100.0
S08241,Arabic,92,95.0
S08074,Arabic,48,95.0
S08907,Math,72,80.0
S09714,English,78,90.0
S06861,Math,101,95.0
S00865,Math,50,100.0
S08192,History,69,100.0
S03573,Geography,53,100.0
S03107,Science,85,100.0
S04647,English,89,80.0
S10383,Geography,85,100.0
S02018,Math,91,95.0
S08372,History,79,95.0
S05072,Math,90,95.0
S04662,Science,106,95.0
S09964,Arabic,74,80.0
S08676,History,88,95.0
S01036,English,41,100.0
S04980,History,109,90.0
S03877,English,106,100.0
S10355,English,70,80.0
S11095,English,93,90.0
S05276,History,54,90.0
S10205,Geography,50,95.0
S10175,Arabic,108,95.0
S07093,English,51,100.0
S12056,Geography,67,95.0
S07557,Arabic,94,95.0
S11426,Math,58,100.0
S08989,English,110,95.0
S07878,Science,59,95.0
S00812,History,108,95.0
S01136,Math,68,90.0
S06372,History,93,95.0
S05469,Math,57,80.0
S03497,Math,96,95.0
S04537,History,106,95.0
S00848,English,99,90.0
S07674,Science,69,95.0
S11899,Geography,52,80.0
S07261,History,90,100.0
S05176,Arabic,100,95.0
S10861,Geography,63,80.0
S04546,History,74,100.0
S11756,Science,84,90.0
S09737,Science,46,80.0
S06929,Geography,94,100.0
S00007,Geography,99,100.0
S03376,History,104,80.0
S00947,Geography,64,95.0
S10343,Geography,50,90.0
S03934,Science,104,95.0
S03587,English,50,90.0
S06805,English,78,100.0
S00429,Arabic,59,95.0
S03149,English,81,80.0
S11280,History,70,95.0
S09664,Arabic,101,100.0
S10033,Arabic,86,80.0
S11346,History,83,95.0
S03556,History,54,80.0
S08476,Geography,83,95.0
S01708,History,60,90.0
S06172,Geography,93,95.0
S04361,English,104,90.0
S04133,Geography,63,80.0
S04997,English,105,100.0
S03058,English,81,95.0
S00815,Geography,46,90.0
S02234,Arabic,88,95.0
S01086,English,66,80.0
S03417,English,43,95.0
S08621,History,53,95.0
S04605,Math,101,95.0
S11692,English,87,80.0
S11005,Math,79,95.0
S02468,Arabic,42,90.0
S08823,Arabic,40,90.0
S11436,Geography,57,80.0
S03812,Science,55,80.0
S12075,History,105,90.0
S06520,Geography,95,95.0
S08170,History,70,90.0
S00697,History,80,95.0
S00417,English,96,95.0
S01088,History,42,80.0
S01119,History,60,95.0
S00152,Math,40,95.0
S00528,Science,99,95.0
S00901,Arabic,69,90.0
S04650,English,98,90.0
S01190,Arabic,68,95.0
S04487,English,69,90.0
S10102,English,103,90.0
S05645,Arabic,62,95.0
S04588,Geography,79,80.0
S02801,Math,85,95.0
S04278,Science,60,90.0
S11307,Science,83,100.0
S09243,Geography,83,95.0
S06575,Arabic,98,100.0
S09279,Science,87,90.0
S07183,Geography,83,80.0
S02499,Math,64,90.0
S00116,Math,44,95.0
S05798,Science,105,100.0
S08214,English,109,80.0
S10987,Science,81,90.0
S11820,Science,43,90.0
S01058,Science,95,90.0
S07644,Geography,57,100.0
S09500,Science,57,95.0
S05906,Arabic,93,95.0
S03050,Geography,79,95.0
S01477,English,68,90.0
S06899,History,80,95.0
S10558,Arabic,100,95.0
S11447,Arabic,44,80.0
S01226,Math,80,95.0
S11561,Math,106,90.0
S00728,Science,103,100.0
S05894,Math,100,100.0
S03126,Science,52,90.0
S06980,Geography,81,95.0
S04293,Arabic,98,90.0
S06892,Math,83,90.0
S06360,History,43,95.0
S10499,History,52,95.0
S03124,History,83,90.0
S04994,Arabic,55,95.0
S10796,Geography,50,100.0
S02478,English,89,80.0
S04857,Geography,45,90.0
S03417,History,57,95.0
S05956,History,65,100.0
S01913,History,79,95.0
S04965,Math,102,100.0
S02657,Math,94,95.0
S02672,Geography,97,80.0
S11350,Arabic,63,95.0
S09291,History,109,80.0
S10931,English,90,90.0
S08143,Science,74,95.0
S10972,Arabic,93,95.0
S07936,Arabic,104,95.0
S03997,History,48,80.0
S11107,Geography,64,95.0
S10343,Geography,95,90.0
S04320,History,74,95.0
S11228,History,59,95.0
S00674,English,75,80.0
S03970,Arabic,67,100.0
S11705,Math,96,95.0
S05408,Geography,56,80.0
S00079,Science,60,100.0
S10744,Arabic,76,95.0
S00706,Math,106,95.0
S04051,Science,99,100.0
S06343,Geography,61,95.0
S00281,English,55,80.0
S11972,Math,109,100.0
S06902,English,49,80.0
S06579,Math,104,80.0
S01846,Science,98,100.0
S02763,English,103,90.0
S10495,Science,92,90.0
S06738,Math,57,100.0
S07365,History,98,95.0
S02809,Geography,92,80.0
S11518,Math,43,80.0
S02077,Arabic,72,95.0
S06212,History,79,90.0
S10042,Math,59,95.0
S02696,English,96,100.0
S02615,Science,54,95.0
S03439,Geography,99,95.0
S00032,Geography,68,95.0
S11113,Geography,78,80.0
S00139,Geography,95,90.0
S01721,Arabic,89,100.0
S08619,Geography,97,80.0
S01622,Geography,60,95.0
S01496,Arabic,77,100.0
S10082,History,84,100.0
S06353,History,62,90.0
S05952,Arabic,48,80.0
S00130,Math,92,95.0
S05074,History,70,100.0
S06055,Math,70,80.0
S03422,History,95,95.0
S08254,Math,40,80.0
S00605,History,51,95.0
S08355,Math,103,90.0
S00438,Science,55,95.0
S06510,Math,60,90.0
S12106,Arabic,52,95.0
S09184,Geography,61,100.0
S08166,Geography,56,95.0
S09227,English,110,95.0
S08079,Science,96,95.0
S06878,Math,98,90.0
S05759,Geography,102,95.0
S10747,English,44,90.0
S02236,History,47,90.0
S10192,Geography,97,95.0
S07988,English,97,100.0
S07317,Geography,84,95.0
S06522,Math,80,95.0
S02140,Math,95,80.0
S10781,Geography,47,95.0
S04554,Arabic,46,95.0
S09688,English,109,95.0
S06869,Geography,53,100.0
S10875,Arabic,76,80.0
S03485,Science,101,95.0
S04296,Math,52,100.0
S10045,English,95,95.0
S08199,Geography,79,90.0
S08198,History,103,95.0
S11028,History,71,100.0
S08329,Math,67,80.0
S06102,Science,69,95.0
S04243,English,101,100.0
S08696,Geography,92,100.0
S01302,Geography,83,95.0
S10207,Math,91,100.0
S09229,Geography,75,100.0
S09429,Geography,73,100.0
S06216,Math,107,100.0
S11223,Math,70,90.0
S10683,Science,103,100.0
S11974,English,106,80.0
S00765,Science,43,95.0
S04536,Geography,76,100.0
S07379,Science,52,100.0
S02492,English,62,95.0
S07225,Math,40,80.0
S12098,Arabic,45,90.0
S11041,Math,62,100.0
S07377,Science,75,100.0
S05538,Science,84,80.0
S00157,Math,49,90.0
S06089,Arabic,79,95.0
S08309,Science,68,95.0
S04183,Geography,109,100.0
S07042,Science,78,100.0
S10568,Arabic,71,95.0
S03877,Geography,72,100.0
S11790,Geography,44,80.0
S03679,Geography,97,90.0
S11482,History,52,95.0
S01573,Science,88,100.0
S03778,Geography,67,95.0
S08796,Math,53,100.0
S00263,English,98,90.0
S05158,Science,88,100.0
S09258,History,46,95.0
S08732,English,46,80.0
S10699,Arabic,57,95.0
S06359,Science,46,90.0
S10872,Science,101,80.0
S07293,Geography,64,95.0
S11574,Science,84,95.0
S11586,Geography,72,100.0
S07885,Arabic,75,95.0
S06809,Science,64,100.0
S09176,English,55,90.0
S05387,English,51,95.0
S11916,English,104,95.0
S04951,Math,57,95.0
S06426,Science,45,95.0
S03699,History,85,90.0
S00144,Geography,61,95.0
S04247,Arabic,61,95.0
S07380,Science,49,80.0
S09675,Math,58,100.0
S01591,Math,55,95.0
S10631,Geography,70,90.0
S00994,Math,84,90.0
S00870,Geography,69,95.0
S08422,Science,81,80.0
S10610,Geography,99,100.0
S06617,Geography,71,95.0
S01139,Geography,50,100.0
S01551,Arabic,99,90.0
S09559,Math,57,100.0
S06472,History,68,90.0
S08721,Math,93,95.0
S00883,English,92,95.0
S02925,Math,88,100.0
S01684,Arabic,91,100.0
S00915,Geography,53,95.0
S06360,Science,41,90.0
S03027,Arabic,71,95.0
S05949,Geography,65,95.0
S08823,Science,76,80.0
S08405,Geography,70,95.0
S08921,Science,74,95.0
S00448,Geography,103,80.0
S03694,Geography,73,90.0
S01623,Arabic,109,95.0
S09616,History,72,95.0
S00424,Math,49,100.0
S00714,English,51,90.0
S02272,Math,55,90.0
S07478,History,48,80.0
S02926,English,46,90.0
S03372,History,51,80.0
S10137,English,81,95.0
S10747,Science,88,100.0
S11356,Geography,79,80.0
S00408,History,68,100.0
S02490,Geography,69,80.0
S09171,History,60,80.0
S06077,Geography,107,90.0
S07688,Arabic,87,90.0
S05455,Math,72,80.0
S04352,History,50,100.0
S00828,History,52,80.0
S05345,History,93,80.0
S04128,Math,96,100.0
S05658,History,96,95.0
S10630,Geography,86,95.0
S10651,Math,46,95.0
S08966,Math,93,80.0
S02106,Geography,84,95.0
S05679,Science,42,90.0
S07981,Science,106,95.0
S02456,History,87,95.0
S04671,English,89,95.0
S03033,Science,110,95.0
S06111,History,52,100.0
S01159,Arabic,77,100.0
S03953,Geography,47,95.0
S09205,English,101,90.0
S00552,Math,83,80.0
S02765,Science,107,80.0
S10258,English,71,100.0
S11586,English,66,95.0
S05487,Arabic,103,100.0
S01051,Math,102,100.0
S05055,History,102,80.0
S01594,Geography,43,90.0
S08150,History,91,95.0
S02331,Geography,102,80.0
S10352,Arabic,69,100.0
S08285,Science,104,80.0
S06290,History,92,95.0
S07882,Arabic,43,80.0
S12029,Math,109,100.0
S05526,Geography,101,95.0
S03620,Geography,99,100.0
S09330,Math,75,95.0
S04013,Arabic,80,90.0
S07527,English,91,90.0
S03987,Science,93,95.0
S02459,Geography,66,95.0
S07797,Math,98,95.0
S06154,English,45,100.0
S03747,History,108,90.0
S05352,Science,53,100.0
S05615,English,51,90.0
S04493,Science,101,90.0
S05116,English,55,80.0
S11898,English,53,90.0
S04503,History,59,90.0
S00322,History,42,80.0
S09581,Geography,101,95.0
S09690,History,43,90.0
S08457,History,59,95.0
S08966,Arabic,49,100.0
S02833,Science,89,90.0
S06190,English,68,90.0
S11783,Math,90,95.0
S03078,Science,93,95.0
S10240,English,90,90.0
S02891,Math,75,95.0
S00617,Math,40,95.0
S05183,History,92,100.0
S04053,History,52,100.0
S01850,History,91,100.0
S10396,History,92,90.0
S08298,Arabic,88,100.0
S00270,Science,46,95.0
S10294,Arabic,87,95.0
S05213,English,74,80.0
S04357,Math,110,90.0
S02256,History,44,95.0
S06698,English,99,100.0
S02506,Arabic,56,95.0
S05964,Arabic,90,100.0
S08398,Math,68,80.0
S00669,Science,69,80.0
S09365,Science,99,80.0
S09304,Science,91,80.0
S03805,English,106,80.0
S05917,History,83,80.0
S02341,Geography,101,95.0
S03774,Science,87,100.0
S00817,Science,68,95.0
S11971,Geography,85,80.0
S06216,Math,41,95.0
S08697,Arabic,72,95.0
S01352,Math,88,95.0
S05035,Science,103,95.0
S03218,History,63,80.0
S05874,Geography,60,100.0
S11648,Math,90,100.0
S11990,Math,104,95.0
S09603,Geography,62,95.0
S04935,Science,77,95.0
S01360,Geography,46,95.0
S07175,English,70,100.0
S10297,Arabic,43,95.0
S04276,Arabic,83,95.0
S02433,Geography,107,95.0
S02962,Math,76,95.0
S00986,Science,57,100.0
S08262,Science,74,95.0
S03505,Science,40,100.0
S10402,Geography,90,80.0
S03748,Geography,78,90.0
S08297,History,102,80.0
S12086,Arabic,106,80.0
S03268,Science,79,90.0
S06672,English,63,80.0
S02117,Science,82,95.0
S00653,Arabic,95,80.0
S08950,Science,100,95.0
S11062,Arabic,78,100.0
S06099,Arabic,74,95.0
S01467,Math,106,95.0
S01603,Science,104,100.0
S01406,History,59,95.0
S09472,English,60,80.0
S09893,English,101,95.0
S03899,Science,91,100.0
S00889,Science,110,100.0
S01486,Arabic,68,100.0
S11969,English,66,80.0
S06842,Arabic,108,95.0
S05739,Math,104,80.0
S02887,Science,66,90.0
S03416,Math,44,80.0
S09256,Math,88,100.0
S07306,Arabic,110,95.0
S07400,Geography,84,90.0
S08428,Science,99,90.0
S08118,Math,42,90.0
S06020,Science,98,100.0
S05842,Science,102,95.0
S03697,Geography,81,80.0
S01134,Math,99,80.0
S03868,Arabic,60,90.0
S07683,Arabic,77,95.0
S10962,Geography,92,95.0
S09069,History,47,90.0
S04810,Math,61,80.0
S01508,History,76,90.0
S11191,Geography,42,90.0
S03638,History,64,100.0
S03062,Geography,67,80.0
S11946,English,91,90.0
S10917,Science,103,95.0
S06997,Arabic,81,95.0
S04005,Science,55,95.0
S07334,History,44,90.0
S08598,Science,56,100.0
S10346,History,91,80.0
S01277,Arabic,68,100.0
S11830,History,42,90.0
S05259,Math,69,95.0
S11796,Geography,78,100.0
S05751,Math,110,95.0
S06575,English,91,90.0
S10342,Math,109,95.0
S01902,Science,85,80.0
S07141,Math,93,90.0
S01235,History,62,100.0
S11008,Science,103,80.0
S09733,Geography,49,90.0
S07743,History,84,95.0
S05738,Math,73,80.0
S05241,Geography,83,90.0
S05709,Math,51,80.0
S09357,English,60,90.0
S04141,History,53,95.0
S03066,Arabic,62,95.0
S09781,Math,84,90.0
S10105,Science,62,80.0
S00058,English,82,90.0
S09309,Science,62,95.0
S02526,English,64,80.0
S05952,Geography,91,95.0
S03056,Science,78,95.0
S01536,Geography,103,95.0
S08979,Arabic,52,95.0
S00482,English,100,95.0
S05955,English,66,100.0
S11145,Arabic,51,90.0
S12020,History,102,95.0
S05691,Science,48,95.0
S06621,English,108,90.0
S09662,Science,55,90.0
S01173,History,102,95.0
S08524,Arabic,51,80.0
S03522,Geography,57,95.0
S00775,History,40,100.0
S03200,Math,66,95.0
S09203,English,106,90.0
S06389,History,79,100.0
S02211,History,76,95.0
S09404,Science,102,95.0
S07005,Geography,109,100.0
S06965,Math,96,90.0
S05999,Arabic,91,95.0
S04321,Geography,50,90.0
S04599,English,82,100.0
S08394,History,58,95.0
S10826,Arabic,79,90.0
S08477,Geography,71,95.0
S00482,Math,80,100.0
S11415,Science,52,80.0
S08488,Math,77,80.0
S09117,Science,101,95.0
S03675,Science,63,100.0
S01806,Geography,61,80.0
S08810,English,58,100.0
S08379,Arabic,49,95.0
S06183,Science,48,90.0
S01154,Science,68,80.0
S11933,Geography,49,100.0
S10263,History,45,95.0
S05674,Math,77,95.0
S03701,Math,92,80.0
S09771,English,106,80.0
S09668,Geography,65,90.0
